endpoint,run,vus,configured_duration,actual_duration_ms,avg_response_ms,p95_response_ms,request_count,throughput_rps,error_rate_pct,checks_passed,checks_failed,target_p95_status,timestamp,source_file,k6_status,k6_exit_code,vus_max,iterations_count,latency_metric,request_metric,failed_metric,measurement_scope,analysis_status,reason
Login pengguna,1,10,3m,180129.687000,90.371590,101.828100,1650.000000,9.160067,0.000000,3300.000000,0.000000,Memenuhi,2026-08-03T10:09:57Z,run_1/01-login-summary.json,completed,0,10.000000,1650.000000,login_response_time,login_requests,login_failed,endpoint target only (custom k6 metrics),valid,
Login pengguna,2,10,3m,181074.640000,90.067868,96.380600,1654.000000,9.134355,0.000000,3308.000000,0.000000,Memenuhi,2026-08-03T10:24:35Z,run_2/01-login-summary.json,completed,0,10.000000,1654.000000,login_response_time,login_requests,login_failed,endpoint target only (custom k6 metrics),valid,
Login pengguna,3,10,3m,181048.648000,89.589565,95.741000,1658.000000,9.157760,0.000000,3316.000000,0.000000,Memenuhi,2026-08-03T10:28:36Z,run_3/01-login-summary.json,completed,0,10.000000,1658.000000,login_response_time,login_requests,login_failed,endpoint target only (custom k6 metrics),valid,
Daftar appointment,1,10,3m,180767.013000,20.227389,30.519400,1770.000000,9.791609,0.000000,3540.000000,0.000000,Memenuhi,2026-08-03T10:31:38Z,run_1/02-appointment-list-summary.json,completed,0,10.000000,1770.000000,list_appointment_response_time,list_appointment_requests,list_appointment_failed,endpoint target only (custom k6 metrics),valid,
Daftar appointment,2,10,3m,180333.758000,17.528189,29.008000,1770.000000,9.815134,0.000000,3540.000000,0.000000,Memenuhi,2026-08-03T10:35:39Z,run_2/02-appointment-list-summary.json,completed,0,10.000000,1770.000000,list_appointment_response_time,list_appointment_requests,list_appointment_failed,endpoint target only (custom k6 metrics),valid,
Daftar appointment,3,10,3m,180844.575000,19.974838,31.869100,1770.000000,9.787410,0.000000,3540.000000,0.000000,Memenuhi,2026-08-03T10:39:40Z,run_3/02-appointment-list-summary.json,completed,0,10.000000,1770.000000,list_appointment_response_time,list_appointment_requests,list_appointment_failed,endpoint target only (custom k6 metrics),valid,
Membuat appointment,1,10,3m,180833.343000,31.404535,58.008200,1749.000000,9.671889,0.000000,3498.000000,0.000000,Memenuhi,2026-08-03T10:42:42Z,run_1/03-appointment-create-summary.json,completed,0,10.000000,1749.000000,create_appointment_response_time,create_appointment_requests,create_appointment_failed,endpoint target only (custom k6 metrics),valid,
Membuat appointment,2,10,3m,180698.573000,30.017685,43.975500,1750.000000,9.684637,0.000000,3500.000000,0.000000,Memenuhi,2026-08-03T10:46:43Z,run_2/03-appointment-create-summary.json,completed,0,10.000000,1750.000000,create_appointment_response_time,create_appointment_requests,create_appointment_failed,endpoint target only (custom k6 metrics),valid,
Membuat appointment,3,10,3m,180628.367000,29.012333,48.544850,1750.000000,9.688401,0.000000,3500.000000,0.000000,Memenuhi,2026-08-03T10:50:45Z,run_3/03-appointment-create-summary.json,completed,0,10.000000,1750.000000,create_appointment_response_time,create_appointment_requests,create_appointment_failed,endpoint target only (custom k6 metrics),valid,
Detail konsultasi,1,10,3m,181163.753000,20.052403,26.128850,1770.000000,9.770166,0.000000,3544.000000,0.000000,Memenuhi,2026-08-03T10:53:47Z,run_1/04-consultation-detail-summary.json,completed,0,10.000000,1770.000000,detail_consultation_response_time,detail_consultation_requests,detail_consultation_failed,endpoint target only (custom k6 metrics),valid,
Detail konsultasi,2,10,3m,181002.640000,20.439305,25.742100,1770.000000,9.778863,0.000000,3544.000000,0.000000,Memenuhi,2026-08-03T10:57:48Z,run_2/04-consultation-detail-summary.json,completed,0,10.000000,1770.000000,detail_consultation_response_time,detail_consultation_requests,detail_consultation_failed,endpoint target only (custom k6 metrics),valid,
Detail konsultasi,3,10,3m,181226.762000,27.238578,31.283700,1759.000000,9.706072,0.000000,3522.000000,0.000000,Memenuhi,2026-08-03T11:01:50Z,run_3/04-consultation-detail-summary.json,completed,0,10.000000,1759.000000,detail_consultation_response_time,detail_consultation_requests,detail_consultation_failed,endpoint target only (custom k6 metrics),valid,
Pesan konsultasi,1,10,3m,181061.013000,33.465134,46.839800,1743.000000,9.626589,0.000000,3490.000000,0.000000,Memenuhi,2026-08-03T11:04:52Z,run_1/05-consultation-message-summary.json,completed,0,10.000000,1743.000000,send_message_response_time,send_message_requests,send_message_failed,endpoint target only (custom k6 metrics),valid,
Pesan konsultasi,2,10,3m,181228.338000,25.810349,55.739850,1760.000000,9.711505,0.000000,3524.000000,0.000000,Memenuhi,2026-08-03T11:08:54Z,run_2/05-consultation-message-summary.json,completed,0,10.000000,1760.000000,send_message_response_time,send_message_requests,send_message_failed,endpoint target only (custom k6 metrics),valid,
Pesan konsultasi,3,10,3m,180426.181000,33.720060,43.356300,1740.000000,9.643833,0.000000,3484.000000,0.000000,Memenuhi,2026-08-03T11:12:55Z,run_3/05-consultation-message-summary.json,completed,0,10.000000,1740.000000,send_message_response_time,send_message_requests,send_message_failed,endpoint target only (custom k6 metrics),valid,
Unggah citra gigi,1,10,3m,181115.369000,38.182209,48.896050,1740.000000,9.607136,0.000000,3484.000000,0.000000,Memenuhi,2026-08-03T11:27:09Z,run_1/06-image-upload-summary.json,completed,0,10.000000,1740.000000,upload_image_response_time,upload_image_requests,upload_image_failed,endpoint target only (custom k6 metrics),valid,
Unggah citra gigi,2,10,3m,180869.762000,47.698816,117.396650,1722.000000,9.520663,0.000000,3448.000000,0.000000,Memenuhi,2026-08-03T11:31:10Z,run_2/06-image-upload-summary.json,completed,0,10.000000,1722.000000,upload_image_response_time,upload_image_requests,upload_image_failed,endpoint target only (custom k6 metrics),valid,
Unggah citra gigi,3,10,3m,181120.417000,39.190674,53.249000,1734.000000,9.573741,0.000000,3472.000000,0.000000,Memenuhi,2026-08-03T11:35:12Z,run_3/06-image-upload-summary.json,completed,0,10.000000,1734.000000,upload_image_response_time,upload_image_requests,upload_image_failed,endpoint target only (custom k6 metrics),valid,
