run_id,image_file,image_size_kb,initial_response_time_ms,queue_time_ms,inference_time_ms,persistence_time_ms,end_to_end_processing_time_ms,status,error_message,timestamp
paper_cdss_latency_1781677258872_001,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_001.png,113.99,142.58,28,6,1,653.54,success,,2026-06-17T06:20:58.872Z
paper_cdss_latency_1781677258872_002,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_002.png,112.25,39.39,5,5,1,543.19,success,,2026-06-17T06:20:59.690Z
paper_cdss_latency_1781677258872_003,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_003.png,111.79,51.63,6,4,2,558.27,success,,2026-06-17T06:21:00.255Z
paper_cdss_latency_1781677258872_004,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_004.png,114.26,49.19,5,5,1,553.34,success,,2026-06-17T06:21:00.835Z
paper_cdss_latency_1781677258872_005,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_005.png,111.90,49.88,6,4,2,553.85,success,,2026-06-17T06:21:01.415Z
paper_cdss_latency_1781677258872_006,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_006.png,109.51,40.63,6,4,1,543.30,success,,2026-06-17T06:21:01.984Z
paper_cdss_latency_1781677258872_007,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_007.png,112.40,97.25,9,5,1,603.92,success,,2026-06-17T06:21:02.552Z
paper_cdss_latency_1781677258872_008,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_008.png,112.04,49.14,8,5,0,554.51,success,,2026-06-17T06:21:03.181Z
paper_cdss_latency_1781677258872_009,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_009.png,111.02,59.52,10,6,2,565.34,success,,2026-06-17T06:21:03.767Z
paper_cdss_latency_1781677258872_010,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_010.png,113.39,50.21,6,5,1,553.52,success,,2026-06-17T06:21:04.363Z
paper_cdss_latency_1781677258872_011,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_011.png,111.99,56.40,6,5,0,560.94,success,,2026-06-17T06:21:04.961Z
paper_cdss_latency_1781677258872_012,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_012.png,109.79,177.97,11,8,3,682.67,success,,2026-06-17T06:21:05.572Z
paper_cdss_latency_1781677258872_013,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_013.png,111.50,50.74,5,9,1,554.50,success,,2026-06-17T06:21:06.302Z
paper_cdss_latency_1781677258872_014,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_014.png,110.84,54.75,5,7,1,559.14,success,,2026-06-17T06:21:06.897Z
paper_cdss_latency_1781677258872_015,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_015.png,112.42,56.11,5,6,1,559.44,success,,2026-06-17T06:21:07.486Z
paper_cdss_latency_1781677258872_016,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_016.png,110.85,47.38,6,6,2,550.65,success,,2026-06-17T06:21:08.076Z
paper_cdss_latency_1781677258872_017,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_017.png,112.58,31.63,5,5,1,535.61,success,,2026-06-17T06:21:08.643Z
paper_cdss_latency_1781677258872_018,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_018.png,112.47,45.09,5,4,1,547.63,success,,2026-06-17T06:21:09.216Z
paper_cdss_latency_1781677258872_019,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_019.png,113.17,58.26,5,4,1,560.56,success,,2026-06-17T06:21:09.796Z
paper_cdss_latency_1781677258872_020,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_020.png,112.68,51.87,5,4,1,555.03,success,,2026-06-17T06:21:10.388Z
paper_cdss_latency_1781677258872_021,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_021.png,113.08,52.69,5,4,1,555.93,success,,2026-06-17T06:21:10.979Z
paper_cdss_latency_1781677258872_022,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_022.png,113.43,56.94,5,5,0,559.02,success,,2026-06-17T06:21:11.582Z
paper_cdss_latency_1781677258872_023,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_023.png,114.46,40.27,4,5,0,544.10,success,,2026-06-17T06:21:12.160Z
paper_cdss_latency_1781677258872_024,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_024.png,111.74,43.07,5,4,1,547.27,success,,2026-06-17T06:21:12.732Z
paper_cdss_latency_1781677258872_025,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_025.png,111.93,55.47,5,5,1,559.52,success,,2026-06-17T06:21:13.315Z
paper_cdss_latency_1781677258872_026,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_026.png,112.79,53.71,5,5,1,556.99,success,,2026-06-17T06:21:13.918Z
paper_cdss_latency_1781677258872_027,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_027.png,112.82,50.47,5,5,1,553.74,success,,2026-06-17T06:21:14.508Z
paper_cdss_latency_1781677258872_028,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_028.png,112.09,53.75,5,4,1,557.61,success,,2026-06-17T06:21:15.100Z
paper_cdss_latency_1781677258872_029,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_029.png,113.46,51.77,5,5,0,554.60,success,,2026-06-17T06:21:15.695Z
paper_cdss_latency_1781677258872_030,paper-evidence/fixtures/synthetic_dental_images/synthetic_opg_030.png,111.00,45.85,5,4,0,547.79,success,,2026-06-17T06:21:16.262Z
